"Entwicklung der Anzahl Getöteter im Strassenverkehr nach Alter, 1963–2015",,,,,,,,,,,,,
Jahr,0–4,5–9,10–14,15–19,20–24,25–29,30–39,40–49,50–59,60–69,70–79,80+,Total
1963,…,…,…,…,…,…,…,…,…,…,…,…,…
1964,  56,  65,  35,  87,  143,  96,  123,  144,  214,  208,  156,  71, 1 398
1965,  53,  74,  38,  86,  117,  98,  132,  130,  183,  190,  147,  56, 1 304
1966,  59,  78,  26,  83,  137,  96,  108,  125,  168,  196,  150,  75, 1 301
1967,  49,  95,  40,  109,  164,  108,  149,  136,  151,  227,  149,  72, 1 449
1968,  45,  88,  55,  102,  164,  94,  111,  153,  175,  201,  178,  110, 1 476
1969,  34,  58,  45,  122,  211,  120,  152,  149,  190,  234,  119,  56, 1 490
1970,  48,  94,  48,  136,  206,  113,  150,  163,  193,  250,  204,  89, 1 694
1971,  42,  51,  53,  146,  217,  130,  160,  142,  203,  216,  152,  72, 1 584
1972,  40,  77,  49,  165,  260,  122,  152,  158,  180,  222,  207,  90, 1 722
1973,  39,  75,  37,  129,  194,  112,  116,  137,  153,  221,  171,  66, 1 450
1974,  35,  53,  39,  145,  200,  114,  110,  106,  147,  191,  146,  86, 1 372
1975,  35,  47,  46,  139,  187,  89,  113,  101,  112,  155,  142,  77, 1 243
1976,  29,  50,  42,  136,  164,  74,  124,  87,  120,  156,  144,  62, 1 188
1977,  30,  62,  37,  146,  176,  103,  138,  97,  111,  149,  164,  89, 1 302
1978,  21,  52,  42,  120,  163,  90,  129,  82,  143,  154,  189,  83, 1 268
1979,  16,  36,  46,  142,  158,  105,  113,  130,  124,  142,  164,  92, 1 268
1980,  15,  34,  29,  138,  199,  90,  134,  102,  141,  134,  162,  68, 1 246
1981,  21,  35,  31,  145,  200,  95,  118,  94,  93,  118,  152,  63, 1 165
1982,  13,  33,  28,  130,  194,  85,  105,  128,  122,  120,  146,  88, 1 192
1983,  11,  28,  25,  140,  222,  93,  97,  103,  99,  131,  145,  65, 1 159
1984,  9,  24,  20,  139,  187,  104,  106,  97,  115,  99,  129,  72, 1 101
1985,  12,  17,  25,  113,  151,  97,  84,  77,  80,  81,  103,  68,  908
1986,  16,  14,  29,  119,  184,  85,  120,  105,  99,  87,  115,  61, 1 034
1987,  10,  23,  10,  94,  185,  79,  94,  80,  98,  93,  106,  80,  952
1988,  13,  18,  7,  90,  169,  107,  106,  76,  68,  94,  115,  82,  945
1989,  16,  11,  14,  88,  172,  114,  126,  73,  72,  77,  88,  74,  925
1990,  7,  20,  21,  89,  161,  122,  122,  97,  77,  58,  98,  82,  954
1991,  11,  23,  22,  72,  140,  95,  111,  83,  78,  67,  87,  71,  860
1992,  13,  12,  11,  73,  134,  80,  132,  82,  70,  80,  75,  72,  834
1993,  11,  16,  17,  78,  103,  67,  104,  67,  58,  69,  70,  63,  723
1994,  16,  17,  13,  53,  88,  80,  90,  62,  51,  53,  85,  71,  679
1995,  11,  18,  10,  61,  100,  63,  101,  75,  59,  68,  68,  58,  692
1996,  15,  9,  12,  54,  80,  71,  77,  54,  55,  65,  71,  53,  616
1997,  11,  9,  11,  55,  68,  53,  102,  58,  62,  48,  50,  60,  587
1998,  14,  14,  14,  57,  61,  59,  77,  62,  66,  50,  63,  60,  597
1999,  10,  12,  20,  55,  64,  72,  83,  63,  47,  47,  54,  56,  583
2000,  9,  12,  7,  51,  66,  51,  82,  66,  68,  45,  75,  59,  591
2001,  6,  7,  9,  46,  62,  39,  84,  75,  66,  47,  51,  52,  544
2002,  10,  8,  3,  54,  64,  30,  79,  68,  56,  55,  51,  35,  513
2003,  8,  8,  7,  51,  72,  48,  77,  70,  50,  55,  47,  53,  546
2004,  6,  8,  9,  61,  70,  40,  65,  55,  46,  51,  44,  55,  510
2005,  6,  4,  4,  41,  53,  25,  49,  61,  37,  42,  40,  47,  409
2006,  7,  4,  5,  38,  42,  27,  48,  42,  37,  33,  45,  42,  370
2007,  4,  7,  3,  31,  46,  30,  43,  32,  57,  28,  43,  60,  384
2008,  1,  3,  6,  31,  27,  34,  39,  52,  49,  33,  44,  38,  357
2009,  9,  4,  8,  38,  37,  28,  26,  43,  45,  43,  33,  35,  349
2010,  3,  1,  4,  24,  24,  16,  45,  44,  43,  43,  37,  43,  327
2011,  2,  6,  2,  22,  28,  17,  30,  33,  42,  49,  42,  47,  320
2012,  4,  2,  25,  18,  27,  14,  36,  42,  60,  39,  37,  35,  339
2013,  6,  4,  2,  14,  18,  17,  18,  33,  39,  28,  39,  51,  269
2014,  2,  2,  5,  15,  25,  18,  16,  31,  33,  28,  30,  38,  243
2015,  4,  2,  1,  16,  23,  17,  22,  27,  29,  37,  34,  41,  253
"Quelle: BFS/ASTRA, polizeilich registrierte Unfälle ",,,,,,,,,,,,USV.WT.14,